trait	uri
"serum hepcidin amount"	"http://purl.obolibrary.org/obo/OBA_2050089"
"chromosome, telomeric region length"	"http://purl.obolibrary.org/obo/OBA_0003784"
"monocyte early outgrowth colony forming unit"	"http://www.ebi.ac.uk/efo/EFO_0004506"
"D dimer measurement"	"http://www.ebi.ac.uk/efo/EFO_0004507"
"spine bone size"	"http://www.ebi.ac.uk/efo/EFO_0004508"
"hemoglobin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004509"
"HPV seropositivity"	"http://www.ebi.ac.uk/efo/EFO_0004510"
"femoral neck bone geometry"	"http://www.ebi.ac.uk/efo/EFO_0004511"
"bone measurement"	"http://www.ebi.ac.uk/efo/EFO_0004512"
"bone fracture related measurement"	"http://www.ebi.ac.uk/efo/EFO_0004516"
"arterial stiffness measurement"	"http://www.ebi.ac.uk/efo/EFO_0004517"
"serum creatinine amount"	"http://purl.obolibrary.org/obo/OBA_2050096"
"soluble P-selectin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004519"
"ICAM-1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0004520"
"sensory perception of bitter taste"	"http://purl.obolibrary.org/obo/GO_0050913"
"erythrocyte volume"	"http://purl.obolibrary.org/obo/OBA_0003460"
"mean corpuscular hemoglobin"	"http://www.ebi.ac.uk/efo/EFO_0004527"
"lipid measurement"	"http://www.ebi.ac.uk/efo/EFO_0004529"
"triglyceride measurement"	"http://www.ebi.ac.uk/efo/EFO_0004530"
"urate measurement"	"http://www.ebi.ac.uk/efo/EFO_0004531"
"serum gamma-glutamyl transferase measurement"	"http://www.ebi.ac.uk/efo/EFO_0004532"
"alkaline phosphatase measurement"	"http://www.ebi.ac.uk/efo/EFO_0004533"
"creatine kinase measurement"	"http://www.ebi.ac.uk/efo/EFO_0004534"
"serum albumin amount"	"http://purl.obolibrary.org/obo/OBA_2050068"
"neonatal lupus erythematosus"	"http://purl.obolibrary.org/obo/MONDO_0018360"
"myalgic encephalomeyelitis/chronic fatigue syndrome"	"http://purl.obolibrary.org/obo/MONDO_0005404"
"HbA1c measurement"	"http://www.ebi.ac.uk/efo/EFO_0004541"
"brain serotonin transporter level"	"http://purl.obolibrary.org/obo/OBA_2045374"
"bilirubin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004570"
"butyrylcholinesterase measurement"	"http://www.ebi.ac.uk/efo/EFO_0004571"
"C4BP measurement"	"http://www.ebi.ac.uk/efo/EFO_0004572"
"chemerin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004573"
"total cholesterol measurement"	"http://www.ebi.ac.uk/efo/EFO_0004574"
"E-selectin amount"	"http://purl.obolibrary.org/obo/OBA_2050324"
"fetal hemoglobin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004576"
"homocysteine measurement"	"http://www.ebi.ac.uk/efo/EFO_0004578"
"serum IgE amount"	"http://purl.obolibrary.org/obo/OBA_2050084"
"interleukin 18 measurement"	"http://www.ebi.ac.uk/efo/EFO_0004581"
"enzyme/coenzyme activity trait"	"http://purl.obolibrary.org/obo/OBA_VT0005584"
"serum alanine aminotransferase amount"	"http://purl.obolibrary.org/obo/OBA_2050062"
"platelet volume"	"http://purl.obolibrary.org/obo/OBA_0003277"
"naphthyl-keratin adduct measurement"	"http://www.ebi.ac.uk/efo/EFO_0004585"
"lymphocyte count"	"http://www.ebi.ac.uk/efo/EFO_0004587"
"upper arm circumference"	"http://purl.obolibrary.org/obo/OBA_1000030"
"childhood onset asthma"	"http://purl.obolibrary.org/obo/MONDO_0005405"
"gestational diabetes"	"http://purl.obolibrary.org/obo/MONDO_0005406"
"eosinophilic esophagitis"	"http://purl.obolibrary.org/obo/MONDO_0005361"
"HIV mother to child transmission"	"http://www.ebi.ac.uk/efo/EFO_0004595"
"diabetes mellitus type 2 associated cataract"	"http://purl.obolibrary.org/obo/MONDO_0005408"
"acute graft vs. host disease"	"http://www.ebi.ac.uk/efo/EFO_0004599"
"gallbladder neoplasm"	"http://purl.obolibrary.org/obo/MONDO_0021253"
"duodenal ulcer"	"http://purl.obolibrary.org/obo/MONDO_0005412"
"acute lung injury"	"http://purl.obolibrary.org/obo/MONDO_0015796"
"low density lipoprotein cholesterol measurement"	"http://www.ebi.ac.uk/efo/EFO_0004611"
"high density lipoprotein cholesterol measurement"	"http://www.ebi.ac.uk/efo/EFO_0004612"
"apolipoprotein A 1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0004614"
"osteoarthritis, knee"	"http://purl.obolibrary.org/obo/MONDO_0005416"
"cystatin C measurement"	"http://www.ebi.ac.uk/efo/EFO_0004617"
"vitamin K measurement"	"http://www.ebi.ac.uk/efo/EFO_0004618"
"factor VII measurement"	"http://www.ebi.ac.uk/efo/EFO_0004619"
"vitamin B12 measurement"	"http://www.ebi.ac.uk/efo/EFO_0004620"
"vitamin B6 measurement"	"http://www.ebi.ac.uk/efo/EFO_0004621"
"sphingolipid amount"	"http://purl.obolibrary.org/obo/OBA_1000965"
"circulating fibrinogen levels"	"http://purl.obolibrary.org/obo/OBA_0000061"
"progranulin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004625"
"IGFBP-3 measurement"	"http://www.ebi.ac.uk/efo/EFO_0004626"
"vitamin D amount"	"http://purl.obolibrary.org/obo/OBA_1000968"
"nevus count"	"http://www.ebi.ac.uk/efo/EFO_0004632"
"protein C measurement"	"http://www.ebi.ac.uk/efo/EFO_0004633"
"leptin receptor measurement"	"http://www.ebi.ac.uk/efo/EFO_0004635"
"phospholipid amount"	"http://purl.obolibrary.org/obo/OBA_1001011"
"haptoglobin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004640"
"white matter integrity"	"http://www.ebi.ac.uk/efo/EFO_0004641"
"cortisol secretion efficacy"	"http://purl.obolibrary.org/obo/OBA_2045286"
"TPE interval measurement"	"http://www.ebi.ac.uk/efo/EFO_0004644"
"response to vaccine"	"http://www.ebi.ac.uk/efo/EFO_0004645"
"trait in response to platinum"	"http://purl.obolibrary.org/obo/OBA_2040037"
"response to ximelagatran"	"http://purl.obolibrary.org/obo/GO_0036288"
"response to TNF antagonist"	"http://www.ebi.ac.uk/efo/EFO_0004653"
"biological variation design"	"http://www.ebi.ac.uk/efo/EFO_0004667"
"beta-amyloid 1-42 measurement"	"http://www.ebi.ac.uk/efo/EFO_0004670"
"QT interval"	"http://www.ebi.ac.uk/efo/EFO_0004682"
"tumor necrosis factor alpha amount"	"http://purl.obolibrary.org/obo/OBA_1001013"
"hip geometry"	"http://www.ebi.ac.uk/efo/EFO_0004685"
"testosterone measurement"	"http://www.ebi.ac.uk/efo/EFO_0004908"
"dihydrotestosterone measurement"	"http://www.ebi.ac.uk/efo/EFO_0004909"
"familial hypercholesterolemia"	"http://purl.obolibrary.org/obo/MONDO_0005439"
"serum IgA amount"	"http://purl.obolibrary.org/obo/OBA_2050074"
"facial neural processing"	"http://www.ebi.ac.uk/efo/EFO_0004914"
"vaspin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004915"
"Barrett esophagus"	"http://purl.obolibrary.org/obo/MONDO_0013662"
"post-traumatic stress disorder"	"http://purl.obolibrary.org/obo/MONDO_0005146"
"squamous cell carcinoma"	"http://purl.obolibrary.org/obo/MONDO_0005096"
"hepatitis C virus infection"	"http://purl.obolibrary.org/obo/MONDO_0005231"
neuropathy	"http://www.ebi.ac.uk/efo/EFO_0004149"
"blood urea nitrogen amount"	"http://purl.obolibrary.org/obo/OBA_VT0005265"
"trait in response to paclitaxel"	"http://purl.obolibrary.org/obo/OBA_2040073"
"temperament and character inventory"	"http://www.ebi.ac.uk/efo/EFO_0004825"
"response to vitamin"	"http://purl.obolibrary.org/obo/GO_0033273"
"sex hormone-binding globulin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004696"
"methamphetamine dependence"	"http://purl.obolibrary.org/obo/MONDO_0005419"
"age at menopause"	"http://www.ebi.ac.uk/efo/EFO_0004704"
hypothyroidism	"http://purl.obolibrary.org/obo/MONDO_0005420"
"hypertrophic pyloric stenosis"	"http://purl.obolibrary.org/obo/MONDO_0001560"
"nodular sclerosis classical Hodgkin lymphoma"	"http://purl.obolibrary.org/obo/MONDO_0004665"
"FEV/FVC ratio"	"http://www.ebi.ac.uk/efo/EFO_0004713"
"sexual dysfunction"	"http://www.ebi.ac.uk/efo/EFO_0004714"
"MRI defined brain infarct"	"http://purl.obolibrary.org/obo/MONDO_0005426"
"vascular dementia"	"http://purl.obolibrary.org/obo/MONDO_0004648"
"prion disease"	"http://purl.obolibrary.org/obo/MONDO_0005429"
"coronary artery calcification"	"http://www.ebi.ac.uk/efo/EFO_0004723"
"carotid-femoral pulse wave velocity"	"http://www.ebi.ac.uk/efo/EFO_0004724"
"metabolite measurement"	"http://www.ebi.ac.uk/efo/EFO_0004725"
"hormone measurement"	"http://www.ebi.ac.uk/efo/EFO_0004730"
"eye measurement"	"http://www.ebi.ac.uk/efo/EFO_0004731"
"carotenoid measurement"	"http://www.ebi.ac.uk/efo/EFO_0004737"
"tocopherol measurement"	"http://www.ebi.ac.uk/efo/EFO_0004738"
"circulating cell free DNA measurement"	"http://www.ebi.ac.uk/efo/EFO_0004739"
