efo_id	label	synonyms	source
OBA:2058651	level of serine/threonine-protein kinase 3 (human) in cerebrospinal fluid	cerebrospinal fluid serine/threonine-protein kinase 3 (human) amount	efo-obo-measurement-branch
OBA:2058652	level of myosin-binding protein H (human) in cerebrospinal fluid	cerebrospinal fluid myosin-binding protein H (human) amount	efo-obo-measurement-branch
OBA:2058653	level of semaphorin-3B (human) in cerebrospinal fluid	cerebrospinal fluid semaphorin-3B (human) amount	efo-obo-measurement-branch
OBA:2058654	level of pappalysin-1 (human) in cerebrospinal fluid	cerebrospinal fluid pappalysin-1 (human) amount	efo-obo-measurement-branch
OBA:2058655	level of methanethiol oxidase (human) in cerebrospinal fluid	cerebrospinal fluid methanethiol oxidase (human) amount	efo-obo-measurement-branch
OBA:2058656	level of chitotriosidase-1 (human) in cerebrospinal fluid	cerebrospinal fluid chitotriosidase-1 (human) amount	efo-obo-measurement-branch
OBA:2058657	level of serine/arginine-rich splicing factor 6 (human) in cerebrospinal fluid	cerebrospinal fluid serine/arginine-rich splicing factor 6 (human) amount	efo-obo-measurement-branch
OBA:2058658	level of noggin (human) in cerebrospinal fluid	cerebrospinal fluid noggin (human) amount	efo-obo-measurement-branch
OBA:2058659	level of mitotic spindle assembly checkpoint protein MAD2A (human) in cerebrospinal fluid	cerebrospinal fluid mitotic spindle assembly checkpoint protein MAD2A (human) amount	efo-obo-measurement-branch
OBA:2058660	level of interleukin-15 receptor subunit alpha (human) in cerebrospinal fluid	cerebrospinal fluid interleukin-15 receptor subunit alpha (human) amount	efo-obo-measurement-branch
OBA:2058661	level of transcription intermediary factor 1-beta (human) in cerebrospinal fluid	cerebrospinal fluid transcription intermediary factor 1-beta (human) amount	efo-obo-measurement-branch
OBA:2058662	level of syntaxin-3 (human) in cerebrospinal fluid	cerebrospinal fluid syntaxin-3 (human) amount	efo-obo-measurement-branch
OBA:2058663	level of Ras GTPase-activating protein-binding protein 1 (human) in cerebrospinal fluid	cerebrospinal fluid Ras GTPase-activating protein-binding protein 1 (human) amount	efo-obo-measurement-branch
OBA:2058664	level of N-myc-interactor (human) in cerebrospinal fluid	cerebrospinal fluid N-myc-interactor (human) amount	efo-obo-measurement-branch
OBA:2058665	level of signaling lymphocytic activation molecule (human) in cerebrospinal fluid	cerebrospinal fluid signaling lymphocytic activation molecule (human) amount	efo-obo-measurement-branch
OBA:2058666	level of voltage-gated potassium channel subunit beta-2 (human) in cerebrospinal fluid	cerebrospinal fluid voltage-gated potassium channel subunit beta-2 (human) amount	efo-obo-measurement-branch
OBA:2058667	level of inactive tyrosine-protein kinase 7 (human) in cerebrospinal fluid	cerebrospinal fluid inactive tyrosine-protein kinase 7 (human) amount	efo-obo-measurement-branch
OBA:2058668	level of S-phase kinase-associated protein 2 (human) in cerebrospinal fluid	cerebrospinal fluid S-phase kinase-associated protein 2 (human) amount	efo-obo-measurement-branch
OBA:2058669	level of polyadenylate-binding protein 4 (human) in cerebrospinal fluid	cerebrospinal fluid polyadenylate-binding protein 4 (human) amount	efo-obo-measurement-branch
